alt_diff: -80.0 , velocity_diff: 1.5041468046728874e-16
alt_diff: 532.2713778829782 , velocity_diff: 17.172812195223035
alt_diff: 537.4968610018803 , velocity_diff: 17.21924078143405
alt_diff: 542.7383936682227 , velocity_diff: 17.26551542927672
alt_diff: 547.995930564601 , velocity_diff: 17.311644257827012
alt_diff: 553.2694273948232 , velocity_diff: 17.3576352974241

  0%|                      | 2/10000 [00:09<15:04:55,  5.43s/it]
alt_diff: 563.8641286131478 , velocity_diff: 17.449235679282125
too far reward
reward -84 for 2
alt_diff: -80.0 , velocity_diff: 1.5041468046728874e-16
alt_diff: -80.17689623777352 , velocity_diff: 0.00644964052951153
alt_diff: -80.35742657316626 , velocity_diff: 0.02077257466719687
alt_diff: -80.54400772654515 , velocity_diff: 0.04292293668089404
alt_diff: -80.73904582685131 , velocity_diff: 0.07283982922647714
alt_diff: -80.94493209499456 , velocity_diff: 0.11044845991819284
alt_diff: -81.16403886237802 , velocity_diff: 0.15566124561464983
alt_diff: -81.39592623992309 , velocity_diff: 0.18977742458211105
alt_diff: -81.63731924889032 , velocity_diff: 0.21262472444504638
alt_diff: -81.88488637373922 , velocity_diff: 0.22404736797202962
alt_diff: -82.13524471370172 , velocity_diff: 0.22390932787727696
alt_diff: -82.38496613096623 , velocity_diff: 0.21209773072087168
alt_diff: -82.63058444149323 , velocity_diff: 0.1885263705698397
alt_diff: -82.86860368199157 , velocity_diff: 0.1531392840911328
alt_diff: -83.09550747129771 , velocity_diff: 0.10591432955331154
alt_diff: -83.30776946629149 , velocity_diff: 0.0468667031714831
alt_diff: -83.50186489160075 , velocity_diff: 0.023947682225664197
alt_diff: -83.6742830989123 , velocity_diff: 0.04922975705956224
alt_diff: -83.82154108607381 , velocity_diff: 0.13693297542795502
alt_diff: -83.9401978788685 , velocity_diff: 0.23565253701400826
alt_diff: -84.02686965008454 , velocity_diff: 0.34514555003779285
alt_diff: -84.08129819807414 , velocity_diff: 0.4447747334187512
alt_diff: -84.10636268133464 , velocity_diff: 0.534280742477756
alt_diff: -84.10502080628837 , velocity_diff: 0.6134481437619395
alt_diff: -84.08029610440718 , velocity_diff: 0.6821046486074478
alt_diff: -84.0352654444604 , velocity_diff: 0.7401198750458533
alt_diff: -83.97304691550335 , velocity_diff: 0.7874036992599054
alt_diff: -83.89678819834285 , velocity_diff: 0.8239042615358371
alt_diff: -83.80965552435754 , velocity_diff: 0.8496056930848029
alt_diff: -83.71482330136826 , velocity_diff: 0.8645256294695675
alt_diff: -83.61546446732973 , velocity_diff: 0.8687125739835332
alt_diff: -83.51474161443767 , velocity_diff: 0.8622431705304421
alt_diff: -83.41579890920744 , velocity_diff: 0.8452194406941633
alt_diff: -83.32175481846946 , velocity_diff: 0.8177660341093937
alt_diff: -83.23569563724107 , velocity_diff: 0.7800275352598529
alt_diff: -83.16066980217553 , velocity_diff: 0.7321658637196299
alt_diff: -83.09683742496622 , velocity_diff: 0.6933136159539595
alt_diff: -83.04147835099641 , velocity_diff: 0.6635433641020704
alt_diff: -82.99184773257537 , velocity_diff: 0.6429115513684718
alt_diff: -82.94518113882418 , velocity_diff: 0.6314567244919532
alt_diff: -82.89870020133361 , velocity_diff: 0.629197755737383
alt_diff: -82.84961879896682 , velocity_diff: 0.6361320834025889
alt_diff: -82.79514977610611 , velocity_diff: 0.6522340026315094
alt_diff: -82.73542454098208 , velocity_diff: 0.6580525077242256
alt_diff: -82.67348665421287 , velocity_diff: 0.6536431266150224
alt_diff: -82.61236758452748 , velocity_diff: 0.6390862437691884
alt_diff: -82.55507957424885 , velocity_diff: 0.6144846518647461
alt_diff: -82.50460921921831 , velocity_diff: 0.5799611289384368
alt_diff: -82.46391175575204 , velocity_diff: 0.5356560767291595
alt_diff: -82.43307378583526 , velocity_diff: 0.5005946406240379
alt_diff: -82.40931759177121 , velocity_diff: 0.4748494474788412
alt_diff: -82.38984112466332 , velocity_diff: 0.4584760786193668
alt_diff: -82.37182337768493 , velocity_diff: 0.45151118053754924
